recency,frequency,monetary,customersegment
75,4,1797.24,2
19,1,1757.55,1
310,1,334.4,0
36,11,3466.67,2
204,1,89.0,0
232,1,1079.4,0
214,1,459.4,0
23,3,2811.43,2
2,2,1168.06,1
52,3,2662.06,2
287,1,189.9,0
110,2,552.0,1
8,4,1313.1,1
291,3,962.0699999999999,0
4,1,168.9,1
51,4,3541.94,2
45,2,1887.96,1
72,3,1298.04,1
311,1,364.6,0
25,1,742.9300000000001,1
3,3,459.58000000000004,1
315,2,1628.12,0
82,3,854.19,1
22,5,2729.06,2
5,6,1886.66,2
185,6,1861.81,2
29,3,604.38,1
16,6,2780.66,2
80,1,549.84,1
22,1,439.66,1
72,4,1582.6000000000001,2
64,2,1272.48,1
36,2,2409.9,2
46,1,1635.6599999999999,1
119,4,1108.65,1
303,1,84.3,0
323,1,225.6,0
50,2,445.7,1
149,1,1710.39,0
22,3,3549.85,2
50,5,1708.1200000000001,2
33,9,2934.5299999999997,2
301,3,705.5799999999999,0
75,3,1226.88,1
67,5,822.0500000000001,1
217,3,562.41,0
113,1,668.58,1
64,1,600.39,1
16,5,807.8100000000001,1
96,3,803.5600000000001,1
1,9,1869.51,2
163,2,1760.96,0
78,1,777.2,1
195,1,582.73,0
12,5,943.23,1
9,4,3750.4,2
43,1,256.4,1
85,4,847.09,1
100,1,509.01,1
14,2,2906.85,2
3,1,172.06,1
22,1,133.4,1
58,1,1002.3100000000001,1
243,1,476.49,0
44,1,449.45,1
156,2,197.88,0
17,3,432.57,1
134,1,707.09,1
73,6,2466.86,2
44,4,3208.19,2
71,2,947.4,1
94,2,826.88,1
2,4,1255.17,1
46,7,1385.93,2
10,8,1212.05,2
8,3,750.49,1
143,3,735.0400000000001,1
54,1,723.38,1
4,1,680.99,1
4,3,577.1,1
28,4,3281.63,2
10,3,1298.66,1
39,1,460.40000000000003,1
63,2,263.21000000000004,1
166,3,450.69,0
82,1,1043.1,1
21,3,403.70000000000005,1
315,2,2249.1,0
96,5,3723.87,2
18,4,850.0999999999999,1
301,1,4.5,0
233,1,73.5,0
134,4,1351.56,1
26,2,397.88,1
284,1,176.5,0
143,2,982.5699999999999,0
66,2,132.18,1
85,2,637.79,1
267,1,1017.68,0
78,2,1312.06,1
28,6,2519.55,2
1,5,2056.89,2
64,1,330.84,1
79,6,2686.01,2
143,1,599.68,0
39,2,192.72,1
1,3,1316.66,1
82,3,348.71000000000004,1
9,8,1944.68,2
60,5,1700.93,2
15,1,125.22,1
30,1,349.83000000000004,1
131,1,1089.18,1
92,2,716.35,1
29,1,363.95,1
30,3,981.18,1
30,2,389.7,1
75,2,1000.39,1
47,3,1181.5,1
198,2,207.79999999999998,0
166,1,95.19999999999999,0
79,1,964.83,1
39,2,437.82,1
50,2,599.56,1
2,2,539.92,1
311,3,587.21,0
5,4,2166.63,2
303,1,238.85,0
261,1,456.9,0
282,2,160.67,0
73,2,356.6,1
40,2,519.61,1
9,3,1036.1200000000001,1
227,1,160.54000000000002,0
316,1,218.45,0
36,6,1324.68,2
35,4,689.0,1
21,4,2835.66,2
73,3,470.12,1
247,1,415.7,0
40,1,197.71,1
239,2,511.36,0
234,4,2097.39,0
17,2,213.94000000000003,1
8,1,144.0,1
39,1,214.89999999999998,1
29,2,646.68,1
317,1,452.84999999999997,0
92,2,437.6,1
109,3,418.09999999999997,1
38,11,3356.2200000000003,2
51,2,618.27,1
10,9,3043.48,2
29,7,1032.58,2
29,11,2617.04,2
190,6,584.5600000000001,0
59,1,153.12,1
22,1,739.1999999999999,1
79,2,254.18,1
58,2,3159.02,2
78,3,1126.85,1
23,7,2141.09,2
52,1,1193.32,1
58,2,764.49,1
31,6,3469.78,2
278,1,315.6,0
2,4,2291.19,2
85,5,769.35,1
29,1,352.98,1
22,1,177.31,1
15,3,1339.41,1
232,1,180.1,0
276,1,305.1,0
106,2,641.13,1
212,3,2753.32,2
4,4,803.3100000000001,1
10,2,1270.88,1
57,1,640.5,1
59,5,2187.33,2
90,2,1689.18,1
33,1,671.69,1
239,1,486.1,0
24,3,1174.58,1
115,1,185.9,1
25,3,1013.26,1
128,6,3344.64,2
130,1,477.91,1
34,5,1794.98,2
5,2,1346.97,1
155,1,318.05,0
107,4,643.31,1
3,1,314.44,1
322,2,925.4300000000001,0
149,2,2209.85,2
11,5,601.98,1
11,5,2134.3,2
19,1,686.05,1
30,1,91.68,1
11,1,245.1,1
325,2,64.25,0
58,1,620.13,1
10,6,3005.95,2
330,1,225.89999999999998,0
5,2,610.52,1
12,7,2018.94,2
25,6,1331.39,2
52,9,1167.3700000000001,2
1,4,862.81,1
8,7,2283.63,2
28,6,2863.08,2
26,2,1247.61,1
206,1,389.01,0
28,6,1035.8,2
121,6,880.86,2
70,2,869.67,1
7,4,582.1,1
21,5,976.16,1
80,2,797.71,1
20,1,219.0,1
64,2,292.4,1
7,10,2460.84,2
292,1,603.42,0
97,4,1167.47,1
1,1,848.55,1
106,1,343.36,1
4,2,1053.49,1
151,3,1080.98,0
71,1,238.25,1
5,3,681.8000000000001,1
32,7,2683.28,2
85,6,1090.93,2
4,5,725.07,1
5,4,1031.41,1
28,7,2609.1,2
71,4,836.33,1
114,1,453.01,1
180,1,236.26000000000002,0
234,1,383.95,0
315,2,779.5699999999999,0
78,2,1013.04,1
64,1,427.6,1
134,2,540.13,1
129,1,275.88,1
236,5,3072.3599999999997,2
87,1,112.07999999999998,1
117,2,2791.59,2
52,3,1531.44,1
8,2,1898.52,1
138,2,494.08,1
317,1,1693.88,0
239,1,1143.6,0
211,1,1351.45,0
60,1,892.47,1
17,6,1420.84,2
20,7,840.23,2
21,5,945.76,1
5,6,2388.52,2
2,8,2847.95,2
9,2,532.8199999999999,1
3,2,318.19,1
10,3,463.66,1
65,1,91.85,1
192,1,324.92,0
257,1,400.53999999999996,0
53,2,860.41,1
19,1,430.48,1
184,2,442.58,0
37,3,483.65000000000003,1
168,2,494.26,0
261,3,514.85,0
45,1,229.64000000000001,1
102,1,125.92,1
148,2,1063.46,0
96,2,572.2,1
281,1,166.04,0
178,2,1566.28,0
3,4,942.34,1
214,1,92.72,0
71,3,978.7800000000001,1
75,5,1759.5,2
60,1,397.12,1
3,8,1481.32,2
6,3,430.15000000000003,1
3,6,1018.71,2
322,3,332.95,0
262,1,215.05,0
32,2,383.03,1
145,1,417.38,0
283,1,312.38,0
59,4,2610.36,2
173,1,134.1,0
34,2,671.95,1
144,6,2739.27,2
70,2,1118.99,1
66,9,1723.76,2
29,2,325.96000000000004,1
267,4,354.09,0
22,1,843.64,1
31,2,1010.29,1
97,1,131.81,1
290,2,323.35,0
108,9,2032.5,2
79,5,1351.6,2
8,8,2188.03,2
211,2,1106.4,0
52,2,538.2,1
138,1,147.12,0
26,3,1588.39,1
283,1,559.12,0
186,6,1607.0600000000002,2
84,2,380.64,1
327,2,599.97,0
282,1,374.0,0
143,2,343.2300000000001,0
58,2,2218.02,2
18,3,868.34,1
45,4,593.87,1
276,1,298.0,0
9,2,1463.04,1
25,4,703.47,1
88,1,309.05,1
63,4,1192.17,1
68,3,1405.71,1
214,4,394.47,0
24,1,376.71999999999997,1
186,3,331.0,0
31,1,176.55,1
42,3,398.3,1
205,2,216.5,0
265,1,138.68,0
18,2,496.06,1
12,5,2919.81,2
59,4,1254.0,1
40,8,2228.51,2
23,8,3075.04,2
3,5,1662.3,2
5,5,2483.63,2
149,2,363.65,0
139,5,2968.75,2
128,1,594.0,1
8,8,1368.94,2
17,1,162.78,1
161,1,405.38,0
64,1,172.82,1
88,5,937.45,1
5,2,694.05,1
35,5,2062.7000000000003,2
122,2,130.6,1
78,4,421.7,1
24,4,608.78,1
2,8,2164.95,2
17,5,1114.9,2
15,4,1504.27,2
26,1,114.14,1
46,4,936.94,1
131,3,675.6,1
301,1,3.75,0
36,2,604.51,1
288,1,462.95,0
144,11,1800.69,2
16,8,2076.2,2
2,3,1843.0,2
9,8,1086.07,2
6,5,1392.74,2
10,1,329.85,1
306,1,108.07,0
7,2,266.39,1
8,9,1872.23,2
89,1,769.8100000000001,1
10,1,160.18,1
3,4,2127.05,2
112,1,135.95,1
7,4,405.47,1
198,1,144.8,0
212,1,738.6,0
156,1,39.239999999999995,0
30,2,372.21999999999997,1
240,2,403.88,0
19,1,97.5,1
1,3,1263.14,1
74,3,572.4,1
292,1,505.82,0
31,3,409.5,1
23,2,503.76,1
23,4,414.76,1
4,5,1046.6200000000001,1
78,2,221.92,1
22,7,1255.84,2
196,3,455.88,0
107,3,534.85,1
318,1,120.94999999999999,0
106,3,149.05,1
174,3,558.45,0
56,1,81.57,1
323,2,280.46999999999997,0
9,11,1997.06,2
53,5,3339.64,2
73,3,789.89,1
7,1,204.0,1
64,2,689.9,1
1,8,1014.5699999999999,2
23,3,662.96,1
31,3,1247.5,1
11,2,752.4399999999999,1
39,3,1023.84,1
55,2,642.77,1
58,3,957.13,1
138,3,881.07,1
80,3,908.46,1
9,2,676.99,1
254,2,561.27,0
291,1,560.47,0
99,1,305.28000000000003,1
31,2,629.31,1
14,5,1849.41,2
64,2,656.6800000000001,1
212,1,348.15000000000003,0
64,4,1226.86,1
25,3,271.40000000000003,1
250,1,183.4,0
254,1,307.53,0
72,1,248.61,1
191,1,346.98,0
13,4,1105.59,1
24,3,510.7,1
82,1,115.46000000000001,1
10,2,344.0,1
192,1,228.8,0
267,1,177.15,0
130,1,919.61,1
1,4,728.02,1
4,5,220.10000000000002,1
179,1,58.08,0
126,10,3631.7799999999997,2
4,2,303.75,1
158,3,559.78,0
21,2,371.82,1
71,6,495.83,1
71,1,74.39999999999999,1
99,1,207.35999999999999,1
234,1,101.19,0
40,1,243.94,1
3,6,1098.48,2
129,2,93.5,1
44,5,1539.17,2
3,5,806.24,1
31,8,1524.47,2
117,2,517.09,1
22,8,984.91,2
20,7,1270.6200000000001,2
239,1,30.599999999999998,0
269,2,312.73,0
94,2,922.39,1
90,3,3756.33,2
5,10,2142.99,2
78,1,259.17,1
94,1,64.0,1
23,4,1107.3,1
262,1,77.3,0
274,2,109.8,0
73,7,1846.53,2
197,1,3096.0,2
50,11,2669.84,2
11,9,3648.62,2
22,6,962.39,2
108,3,422.47,1
85,6,2391.7,2
19,1,307.09,1
40,5,622.27,1
26,1,228.91,1
10,4,712.8000000000001,1
14,4,1676.06,2
203,2,1265.3700000000001,0
6,1,486.22,1
144,1,611.86,0
33,4,971.76,1
49,5,1760.87,2
95,4,1201.06,1
9,5,1487.45,2
22,1,91.8,1
313,1,112.75,0
122,5,1731.59,2
46,2,1021.48,1
282,2,419.7,0
19,4,791.33,1
36,5,1308.64,2
64,2,712.88,1
27,1,108.81,1
8,5,510.01,1
4,2,353.65,1
16,3,2742.82,2
46,1,481.49,1
65,1,282.45,1
45,1,121.18,1
268,1,71.4,0
40,5,1612.0900000000001,2
11,1,114.60000000000001,1
19,2,260.68,1
95,2,911.94,1
61,1,112.08,1
136,1,60.7,0
11,4,1797.78,2
10,8,3418.39,2
19,4,870.09,1
10,4,869.46,1
15,2,250.26000000000002,1
59,7,1235.65,2
94,1,353.48,1
10,3,1095.42,1
9,4,794.33,1
57,6,1522.73,2
268,1,333.74,0
122,5,934.34,1
127,1,62.63999999999999,1
78,4,819.2900000000001,1
240,2,847.41,0
200,2,163.20000000000002,0
60,3,2161.05,2
273,1,108.21000000000001,0
202,1,257.7,0
81,1,358.0,1
226,1,160.95,0
13,7,1328.35,2
74,2,605.12,1
212,2,1960.97,0
25,3,762.4300000000001,1
11,5,720.63,1
262,1,329.56,0
96,4,663.65,1
112,3,270.40000000000003,1
203,1,585.12,0
93,1,121.74000000000001,1
51,1,430.5,1
18,7,2026.72,2
18,4,501.12,1
125,2,465.68,1
92,3,711.41,1
157,2,1030.4,0
4,3,408.36,1
12,3,672.83,1
62,1,283.18,1
61,1,557.62,1
269,2,944.1,0
263,1,200.29,0
53,5,2092.66,2
37,2,250.60999999999999,1
31,2,276.56,1
113,1,138.98,1
64,2,590.9300000000001,1
16,4,258.4,1
41,1,542.73,1
64,2,149.20000000000002,1
122,3,798.46,1
18,6,1216.44,2
60,2,93.66,1
323,2,206.23,0
23,4,2709.12,2
156,1,361.11,0
39,2,578.9399999999999,1
190,2,873.74,0
137,1,87.4,0
8,4,2089.85,2
1,1,360.0,1
268,1,142.5,0
165,2,378.49,0
104,4,618.09,1
155,1,63.75,0
4,10,2000.86,2
120,1,15.0,1
23,4,1403.41,1
7,5,1456.79,2
9,6,1180.43,2
4,2,598.57,1
22,5,1555.32,2
2,4,958.37,1
64,9,2407.29,2
1,3,640.76,1
70,6,1589.2,2
72,2,567.36,1
17,1,199.48000000000002,1
3,5,787.85,1
82,1,675.3,1
39,9,3637.9700000000003,2
316,1,1308.48,0
32,4,837.5999999999999,1
93,3,1140.93,1
14,1,350.9,1
82,3,3502.32,2
77,1,795.12,1
154,3,542.22,0
201,1,860.12,0
261,1,775.85,0
173,2,402.93,0
68,3,2511.69,2
277,2,401.40000000000003,0
70,1,341.36,1
64,1,233.76,1
11,1,247.32,1
16,3,1047.52,1
66,1,373.94,1
8,2,406.67999999999995,1
71,1,743.53,1
122,1,674.7,1
80,1,768.24,1
257,1,609.4,0
269,1,439.03,0
59,2,447.86,1
3,5,3095.9900000000002,2
18,2,992.5,1
67,2,269.91999999999996,1
9,3,2259.52,2
50,1,56.160000000000004,1
257,2,623.4,0
90,1,378.64,1
61,3,3312.25,2
81,2,784.4,1
99,3,1019.76,1
26,3,572.56,1
21,7,3651.81,2
281,1,222.99,0
330,1,534.57,0
121,3,727.05,1
11,3,797.96,1
75,1,544.08,1
204,1,59.8,0
2,10,2727.2400000000002,2
185,1,307.72,0
22,4,1396.69,1
73,6,1549.08,2
192,1,457.34,0
127,2,621.23,1
18,1,75.0,1
1,2,252.49,1
74,3,572.451,1
9,7,1017.21,2
107,1,213.55,1
134,3,1390.5,1
44,2,712.5,1
5,2,640.83,1
64,1,221.06,1
135,4,179.35,1
40,3,1835.81,2
51,2,2651.05,2
108,3,1624.21,1
19,3,582.6,1
10,1,201.78,1
11,4,1006.8,1
19,4,710.21,1
67,2,1269.1,1
74,2,534.24,1
2,1,196.89,1
14,7,3408.06,2
255,1,283.71,0
92,1,296.64,1
23,4,1154.05,1
17,10,3608.3900000000003,2
24,1,291.88,1
27,6,2043.7199999999998,2
26,6,2957.96,2
259,2,590.0,0
166,2,356.97999999999996,0
25,4,1109.33,1
18,7,1795.6200000000001,2
29,2,183.44,1
39,3,1445.0,1
183,2,159.75,0
58,1,674.68,1
100,2,317.85,1
11,2,1071.91,1
99,2,165.0,1
1,4,2501.84,2
61,3,427.74,1
236,1,226.84,0
191,4,1431.78,0
179,4,1384.17,0
38,8,1467.6299999999999,2
198,3,310.9,0
46,8,1832.31,2
232,1,184.64,0
66,1,140.34,1
241,1,313.8,0
233,1,454.24,0
78,3,1122.41,1
58,3,575.4,1
105,4,449.52,1
52,10,1215.82,2
136,3,1269.84,1
275,2,618.63,0
312,1,316.26000000000005,0
8,6,2099.62,2
11,3,688.73,1
283,3,375.05,0
18,7,1171.26,2
23,4,1196.77,1
243,2,1370.17,0
17,3,292.0,1
71,1,216.85,1
64,1,295.93,1
312,3,464.21999999999997,0
3,4,2479.16,2
244,1,110.97,0
9,7,979.72,2
1,5,1797.96,2
261,1,251.21,0
127,1,205.1,1
74,1,152.20000000000002,1
73,4,891.12,1
21,3,1389.41,1
60,5,2147.77,2
86,1,627.16,1
50,2,134.7,1
59,8,3760.95,2
1,3,1071.73,1
30,1,125.80000000000001,1
41,5,680.1800000000001,1
15,2,628.78,1
34,8,2266.11,2
79,2,307.76,1
205,2,483.8,0
34,1,210.31,1
183,3,269.09,0
1,7,3444.39,2
43,7,1280.85,2
86,4,656.84,1
40,2,276.06,1
12,3,621.09,1
96,2,678.16,1
26,8,920.28,2
319,1,91.80000000000001,0
28,2,584.06,1
6,4,594.52,1
7,1,171.42000000000002,1
216,1,141.85999999999999,0
82,3,1799.33,2
84,2,777.53,1
144,5,2825.95,2
19,2,240.22,1
41,2,856.84,1
173,1,187.05,0
17,2,338.62,1
243,1,239.49,0
206,1,1384.25,0
50,2,290.25,1
23,5,732.0699999999999,1
25,5,1716.9,2
15,2,467.04,1
309,1,118.0,0
156,1,781.03,0
307,1,142.4,0
32,3,1077.8,1
15,2,379.65,1
11,7,1987.72,2
65,3,1117.13,1
36,4,247.95999999999998,1
108,6,2058.68,2
53,1,396.97,1
6,2,664.11,1
47,2,172.79,1
312,1,219.52,0
45,2,693.32,1
65,1,428.89,1
26,1,164.34,1
29,3,276.75,1
40,1,675.51,1
12,9,1098.78,2
89,4,1168.0,1
24,4,1585.46,2
313,2,435.39,0
40,3,544.18,1
174,1,177.34,0
117,1,213.85,1
31,7,803.0799999999999,2
253,1,257.23,0
59,7,1652.92,2
5,11,2067.88,2
25,6,2123.18,2
33,5,1547.3600000000001,2
68,1,1071.03,1
37,6,956.62,2
52,3,804.3,1
16,1,122.64,1
74,1,1033.34,1
216,1,312.28,0
31,3,519.44,1
9,5,2651.0,2
120,1,252.1,1
10,5,1656.02,2
257,2,346.6,0
17,7,1863.34,2
35,2,94.2,1
46,3,1095.08,1
43,6,2707.33,2
114,2,932.97,1
165,2,379.65,0
11,2,382.14,1
10,7,2856.87,2
197,3,1585.35,0
86,7,899.94,2
179,1,189.47,0
60,3,84.65,1
149,1,299.05,0
51,2,218.55,1
75,1,349.7,1
301,6,444.24,0
19,2,387.44,1
151,2,486.82000000000005,0
152,1,232.6,0
18,4,827.83,1
187,1,59.5,0
286,2,68.13,0
3,7,3119.44,2
183,1,72.0,0
63,1,910.0,1
59,1,172.25,1
25,5,1509.77,2
325,2,32.0,0
39,1,151.29999999999998,1
155,1,308.58000000000004,0
26,10,2248.63,2
318,1,99.5,0
5,10,2320.81,2
8,3,711.86,1
303,1,330.79,0
267,2,806.41,0
271,1,285.33,0
32,1,180.48,1
219,2,252.06,0
247,1,228.84,0
281,8,1102.79,0
269,1,138.28,0
32,7,1457.76,2
246,2,306.55,0
15,5,1041.68,1
117,4,799.9,1
36,1,524.14,1
120,4,2381.66,2
217,1,199.85000000000002,0
50,11,2151.31,2
39,2,1079.6599999999999,1
29,2,333.48,1
37,6,1016.14,2
136,2,752.6,1
219,2,610.59,0
28,1,491.86,1
25,8,3002.6,2
5,3,737.7,1
200,1,339.59999999999997,0
18,1,216.9,1
241,1,350.75,0
72,4,670.53,1
3,8,1343.05,2
95,2,1080.52,1
151,2,308.54,0
96,5,948.25,1
54,5,1647.26,2
288,1,296.25,0
124,6,1175.38,2
288,1,741.26,0
152,2,282.59999999999997,0
4,10,2114.73,2
12,7,3190.55,2
33,2,659.4100000000001,1
54,2,286.79,1
50,2,1070.65,1
204,2,613.4399999999999,0
63,3,1740.46,1
71,3,1519.42,1
64,5,2637.2,2
34,3,1122.63,1
82,1,345.0,1
103,1,178.7,1
7,2,360.01,1
251,1,127.84,0
13,6,908.86,2
10,11,2462.79,2
76,2,309.04,1
4,1,348.8,1
43,3,1984.32,2
66,2,195.55,1
117,2,688.86,1
310,1,558.32,0
67,1,324.8,1
255,1,277.07,0
31,7,2588.39,2
52,2,924.6,1
64,1,256.38,1
6,5,1747.66,2
305,1,155.05,0
29,4,2098.51,2
184,4,1037.25,0
42,3,539.0,1
40,5,1380.31,2
56,3,1596.12,1
24,4,588.3000000000001,1
29,2,382.98,1
302,3,1140.35,0
145,2,385.64,0
6,2,632.0,1
19,2,957.66,1
33,5,1698.94,2
158,2,204.35,0
58,3,409.8,1
22,1,209.49,1
16,6,2198.45,2
18,2,63.449999999999996,1
159,1,383.85,0
25,4,834.57,1
212,2,266.59000000000003,0
6,4,674.82,1
253,1,85.0,0
59,9,3385.62,2
11,1,361.62,1
65,1,312.98,1
25,4,882.51,1
92,3,1255.0,1
52,2,1537.95,1
88,2,1604.15,1
96,3,2651.46,2
9,2,1123.34,1
169,5,413.6,0
57,1,216.17,1
326,1,201.16,0
1,6,1251.8,2
18,10,2231.41,2
245,2,312.0,0
58,4,501.56,1
74,1,145.67000000000002,1
31,3,1005.09,1
7,2,3192.54,2
123,4,3083.65,2
2,10,2790.63,2
120,4,397.5,1
54,5,1786.79,2
64,1,122.7,1
86,1,117.24,1
55,1,1271.57,1
3,6,1250.98,2
1,9,2810.21,2
7,6,793.9,2
189,2,506.8,0
71,1,243.56,1
204,1,349.55,0
120,2,595.67,1
93,1,416.90000000000003,1
27,4,632.97,1
298,1,821.1,0
22,5,593.27,1
21,5,2598.02,2
50,1,311.16,1
326,1,155.93,0
16,2,388.52,1
183,3,740.95,0
72,5,2867.2,2
37,2,332.64,1
80,5,2392.05,2
57,9,2580.91,2
4,3,638.95,1
50,2,272.04,1
50,2,1212.8400000000001,1
53,3,419.46,1
54,1,351.13,1
2,11,1995.6200000000001,2
36,6,739.85,1
23,1,223.85000000000002,1
75,1,348.99,1
11,4,464.57,1
169,3,882.45,0
58,2,337.34,1
86,3,1244.13,1
295,1,307.4,0
109,2,608.7900000000001,1
264,1,922.1,0
171,2,391.88,0
169,1,158.85,0
35,1,71.66,1
23,4,580.35,1
17,4,839.14,1
79,3,561.5699999999999,1
65,1,90.6,1
3,6,2427.32,2
11,5,761.56,1
176,3,674.45,0
211,3,3256.051,2
7,7,3515.68,2
2,3,501.25,1
154,2,322.96,0
5,5,1019.27,1
79,3,594.04,1
21,2,230.22,1
22,2,169.55,1
308,4,664.54,0
146,1,80.7,0
9,11,2814.3,2
71,2,190.25,1
287,1,264.7,0
49,1,413.59000000000003,1
31,7,2484.29,2
207,1,357.98,0
15,2,196.79000000000002,1
73,1,869.87,1
60,1,200.14,1
39,5,1882.51,2
27,6,1352.99,2
17,1,320.46,1
66,2,1266.08,1
213,1,311.3,0
12,7,858.22,2
30,1,76.8,1
4,6,2274.14,2
15,6,1403.89,2
206,2,637.61,0
46,4,2055.83,2
134,2,529.73,1
10,5,2874.72,2
116,3,962.19,1
198,3,705.29,0
278,1,328.8,0
110,3,473.02,1
77,1,505.18,1
53,1,917.34,1
47,4,1444.26,2
17,2,642.8,1
155,3,631.9,0
225,1,440.0,0
7,2,584.07,1
122,2,327.7,1
61,1,104.82,1
63,2,467.66,1
18,8,2358.84,2
22,4,788.6899999999999,1
29,5,1428.02,2
285,1,626.65,0
176,2,147.20000000000002,0
78,4,1566.28,2
33,1,152.2,1
266,1,141.41,0
27,4,646.42,1
109,4,1659.75,2
284,1,154.99,0
9,7,1327.21,2
277,2,444.73,0
32,2,746.36,1
20,1,225.36,1
124,2,260.25,1
65,1,92.46,1
106,1,725.6400000000001,1
267,1,183.6,0
29,7,1499.76,2
267,1,152.55,0
64,2,374.7,1
